,date,datetime,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,moonphase
90,2005-04-01,18:00:00,53.7,53.7,23.1,16.9,0.0,0.0,0.0,0.0,,,8.8,115.0,1020.1,45.6,12.3,,,,,Clear,clear-day,0.75
91,2005-04-02,18:00:00,54.8,54.8,28.7,22.9,0.0,0.0,0.0,0.0,,,4.4,102.0,1014.7,45.6,90.0,,,,,Partially cloudy,partly-cloudy-day,0.78
92,2005-04-03,19:00:00,64.3,64.3,21.5,24.2,0.0,0.0,0.0,0.0,,,7.5,88.0,1006.2,45.6,73.7,,,,,Partially cloudy,partly-cloudy-day,0.82
93,2005-04-04,19:00:00,60.6,60.6,26.6,26.0,0.0,0.0,0.0,0.0,,,8.4,68.0,999.7,45.6,90.0,,,,,Partially cloudy,partly-cloudy-day,0.85
94,2005-04-05,19:00:00,50.1,50.1,40.3,26.9,0.0,0.0,0.0,0.0,,39.1,17.3,360.0,1020.0,9.9,90.0,,,,,Partially cloudy,partly-cloudy-day,0.89
95,2005-04-06,19:00:00,57.1,57.1,26.0,22.6,0.0,0.0,0.0,0.0,,,3.6,50.0,1025.4,8.1,12.3,,,,,Clear,clear-day,0.92
96,2005-04-07,19:00:00,64.1,64.1,18.9,20.9,0.0,0.0,0.0,0.0,,35.6,11.0,170.0,1012.2,9.9,50.0,,,,,Partially cloudy,partly-cloudy-day,0.96
97,2005-04-08,19:00:00,58.6,58.6,29.4,26.8,0.003,100.0,0.0,0.0,['rain'],39.5,14.0,210.0,997.4,18.8,90.0,,,,,"Rain, Partially cloudy",rain,0.0
98,2005-04-09,19:00:00,52.0,52.0,34.2,24.6,0.0,0.0,0.0,0.0,,33.3,12.1,346.0,1000.1,9.9,90.0,,,,,Partially cloudy,partly-cloudy-day,0.03
99,2005-04-10,19:00:00,30.5,21.0,100.0,30.5,0.055,100.0,0.0,0.0,"['rain', 'snow']",31.1,11.7,344.0,1012.2,0.3,100.0,,,,,"Snow, Overcast",snow,0.06
100,2005-04-11,19:00:00,43.7,40.4,42.7,22.5,0.0,0.0,0.0,0.0,,,5.5,200.0,1012.5,18.8,50.0,,,,,Partially cloudy,partly-cloudy-day,0.09
101,2005-04-12,19:00:00,48.1,45.0,42.5,26.4,0.0,0.0,0.0,0.0,,,6.9,192.0,1017.1,18.8,0.0,,,,,Clear,clear-day,0.13
102,2005-04-13,19:00:00,47.8,44.9,64.7,36.5,0.0,0.0,0.0,0.0,,,6.2,134.0,1017.1,18.8,90.0,,,,,Partially cloudy,partly-cloudy-day,0.16
103,2005-04-14,19:00:00,57.5,57.5,76.3,50.1,0.0,0.0,0.0,0.0,,,7.1,62.0,1013.7,18.8,50.0,,,,,Partially cloudy,partly-cloudy-day,0.19
104,2005-04-15,19:00:00,46.7,43.9,82.3,41.6,0.0,0.0,0.0,0.0,,,5.7,130.0,1022.7,8.1,90.0,,,,,Partially cloudy,partly-cloudy-day,0.22
105,2005-04-16,19:00:00,62.8,62.8,53.8,45.8,0.0,0.0,0.0,0.0,,,8.2,110.0,1019.4,18.8,73.7,,,,,Partially cloudy,partly-cloudy-day,0.25
106,2005-04-17,19:00:00,64.3,64.3,46.2,43.2,0.0,0.0,0.0,0.0,,,8.0,102.0,1012.5,8.1,73.7,,,,,Partially cloudy,partly-cloudy-day,0.29
107,2005-04-18,19:00:00,69.3,69.3,16.3,21.6,0.0,0.0,0.0,0.0,,,6.2,166.0,1004.5,18.8,90.0,,,,,Partially cloudy,partly-cloudy-day,0.32
108,2005-04-19,19:00:00,61.0,61.0,49.6,42.0,0.0,0.0,0.0,0.0,,,6.7,2.0,1007.5,15.8,50.0,,,,,Partially cloudy,partly-cloudy-day,0.35
109,2005-04-20,19:00:00,44.4,39.3,98.6,44.0,0.008,100.0,0.0,0.0,['rain'],,9.4,344.0,1012.5,4.2,100.0,,,,,"Rain, Overcast",rain,0.38
110,2005-04-21,19:00:00,53.9,53.9,35.1,26.9,0.009,100.0,0.0,0.0,['rain'],35.6,9.8,290.0,1019.3,9.9,50.0,,,,,"Rain, Partially cloudy",rain,0.41
111,2005-04-22,19:00:00,51.6,51.6,55.3,36.1,0.0,0.0,0.0,0.0,,,6.8,54.0,1026.6,18.8,94.1,,,,,Overcast,cloudy,0.45
112,2005-04-23,19:00:00,62.4,62.4,35.9,35.0,0.0,0.0,0.0,0.0,,,6.9,68.0,1016.6,18.8,38.2,,,,,Partially cloudy,partly-cloudy-day,0.48
113,2005-04-24,19:00:00,41.5,37.0,96.4,40.6,0.044,100.0,0.0,0.0,['rain'],,7.0,282.0,1006.8,4.7,100.0,,,,,"Rain, Overcast",rain,0.5
114,2005-04-25,19:00:00,49.8,49.0,68.1,39.7,0.0,0.0,0.0,0.0,,,3.5,283.0,1011.4,8.1,50.0,,,,,Partially cloudy,partly-cloudy-day,0.55
115,2005-04-26,19:00:00,58.5,58.5,29.5,26.7,0.003,100.0,0.0,0.0,['rain'],50.6,8.6,342.0,1012.7,8.1,90.0,,,,,"Rain, Partially cloudy",rain,0.58
116,2005-04-27,19:00:00,38.4,30.7,93.8,36.8,0.036,100.0,0.0,0.0,['rain'],,12.4,12.0,1012.2,8.1,100.0,,,,,"Rain, Overcast",rain,0.62
117,2005-04-28,19:00:00,31.2,24.7,98.5,30.8,0.032,100.0,0.0,0.0,"['rain', 'snow']",,6.8,352.0,1011.6,0.4,100.0,,,,,"Snow, Overcast",snow,0.66
118,2005-04-29,19:00:00,32.1,27.3,89.0,29.2,0.0,0.0,0.0,0.0,,,4.8,70.0,1017.7,8.1,100.0,,,,,Overcast,cloudy,0.69
119,2005-04-30,19:00:00,34.3,34.3,95.4,33.2,0.013,100.0,0.0,0.0,"['rain', 'snow']",,2.5,60.0,1021.9,5.9,100.0,,,,,"Rain, Overcast",rain,0.73
120,2005-05-01,19:00:00,37.4,33.2,85.2,33.3,0.016,100.0,0.0,0.0,['rain'],,5.3,360.0,1023.7,7.7,100.0,,,,,"Rain, Overcast",rain,0.75
121,2005-05-02,19:00:00,47.1,44.6,74.9,39.5,0.003,100.0,0.0,0.0,['rain'],,5.3,107.0,1020.0,8.1,94.1,,,,,"Rain, Overcast",rain,0.8
122,2005-05-03,19:00:00,53.8,53.8,51.8,36.5,0.0,0.0,0.0,0.0,,,7.0,164.0,1016.6,8.1,94.1,,,,,Overcast,cloudy,0.83
123,2005-05-04,19:00:00,63.3,63.3,28.6,30.1,0.0,0.0,0.0,0.0,,,4.2,147.0,1017.3,8.1,90.0,,,,,Partially cloudy,partly-cloudy-day,0.87
